prometheus,0.63%,69.85MiB / 30.25GiB,67.6MB / 6.07MB
grafana,0.93%,96.79MiB / 30.25GiB,566kB / 1.12MB
backend-b-1,0.10%,507.2MiB / 30.25GiB,66.1kB / 68.2kB
myservice,0.11%,687.1MiB / 30.25GiB,7.26MB / 42.9MB
backend-a-1,0.11%,420.2MiB / 30.25GiB,1.93MB / 2.01MB
node-exporter,0.00%,16.21MiB / 30.25GiB,1.53MB / 30.4MB
angry_boyd,289.95%,686.9MiB / 30.25GiB,916B / 0B
angry_boyd,42.64%,759.3MiB / 30.25GiB,564kB / 553kB
prometheus,0.00%,69.84MiB / 30.25GiB,67.6MB / 6.07MB
grafana,0.98%,96.79MiB / 30.25GiB,566kB / 1.12MB
backend-b-1,0.07%,507.2MiB / 30.25GiB,66.2kB / 68.2kB
myservice,31.69%,687.3MiB / 30.25GiB,8.09MB / 43.7MB
backend-a-1,14.87%,420.2MiB / 30.25GiB,2.2MB / 2.29MB
node-exporter,0.00%,16.21MiB / 30.25GiB,1.53MB / 30.4MB
angry_boyd,326.06%,917.7MiB / 30.25GiB,967kB / 949kB
prometheus,0.00%,69.84MiB / 30.25GiB,67.7MB / 6.08MB
grafana,1.19%,96.78MiB / 30.25GiB,566kB / 1.12MB
backend-b-1,0.10%,507.2MiB / 30.25GiB,66.2kB / 68.2kB
myservice,0.09%,687.2MiB / 30.25GiB,8.68MB / 44.3MB
backend-a-1,0.08%,420.2MiB / 30.25GiB,2.39MB / 2.49MB
node-exporter,0.00%,15.4MiB / 30.25GiB,1.53MB / 30.4MB
